"","year","id","race","sex","age","region","childhoodFamIncome","highestDegree","spouseHighestDegree","householdSize","currentFamIncome","hrsUsuallyWork","hrsSpouseUsuallyWork","maritalStatus","numChildren","afraidWalkNightNeighborhood","troubleSleeping","jobSatisfaction","jobStressful","happiness","health","hrsEmailPerWeek","hrsWWWperWeek"
"1",2018,1,"White","Male",43,"New england","Below average","Junior college","",5,"Refused",41,NA,"Never married",0,"Yes","Sometimes","Somewhat satisfied","Always","Pretty happy","Good",25,20
"2",2018,2,"White","Female",74,"New england","Far below average","High school","",2,"$25000 or more",NA,NA,"Separated",3,"No","","","No issp","Very happy","Excellent",NA,NA
"3",2018,3,"White","Male",42,"New england","Above average","Bachelor","Junior college",4,"$25000 or more",NA,NA,"Married",2,"","Sometimes","Somewhat satisfied","Sometimes","Very happy","",20,10
"4",2018,4,"White","Female",63,"New england","Above average","Bachelor","Junior college",2,"Refused",NA,NA,"Married",2,"","Sometimes","Very satisfied","Often","Very happy","",7,6
"5",2018,5,"Black","Male",71,"New england","Below average","Graduate","",2,"Refused",NA,NA,"Divorced",0,"No","","","No issp","Pretty happy","Excellent",NA,NA
"6",2018,6,"White","Female",67,"New england","Average","Bachelor","",2,"Don't know",NA,NA,"Widowed",2,"No","","","No issp","Not too happy","Good",2,3
"7",2018,7,"Black","Female",59,"Middle atlantic","Average","High school","",2,"$15000 - 19999",NA,NA,"Divorced",6,"Yes","Rarely","Very satisfied","Sometimes","Pretty happy","Good",NA,NA
"8",2018,8,"White","Male",43,"Middle atlantic","Far below average","High school","",1,"$25000 or more",NA,NA,"Never married",0,"No","Sometimes","Somewhat satisfied","Always","Pretty happy","Excellent",NA,NA
"9",2018,9,"White","Female",62,"Middle atlantic","Far below average","Lt high school","",1,"$5000 to 5999",NA,NA,"Widowed",4,"","Often","Somewhat satisfied","Hardly ever","Not too happy","",0,8
"10",2018,10,"White","Male",55,"New england","Average","High school","High school",2,"$25000 or more",NA,NA,"Married",2,"","Often","Somewhat satisfied","Often","Pretty happy","",2,1
